geometry,name
POINT (29.3207429999945 40.8243200005261),33
POINT (29.0922929999914 40.994489000553),2
POINT (29.1476359999922 40.9898980005522),2
POINT (29.1183819999917 41.0438500005608),34
POINT (29.118007019303 41.0136199654641),34
POINT (29.4505130000074 41.1906689991128),29
POINT (28.0766839997951 41.0577800005573),37
POINT (29.2323669999932 41.0301120005586),38
POINT (29.1730019999925 41.0312660005589),38
POINT (29.2500929999933 41.0795860005666),38
POINT (29.2177499999933 40.8801990005349),26
POINT (29.2783710000094 40.8701999991196),26
POINT (29.2705819999939 40.8992420005379),26
POINT (28.6630969999736 41.0434880005601),16
POINT (29.3012109999941 40.9416600005446),31
POINT (29.3614770466087 40.8309399627115),33
POINT (29.1128269999917 40.981800000551),2
POINT (29.134659999992 40.9936690005528),2
POINT (29.0798689999912 40.9989870005536),2
POINT (29.3341249999943 40.9881100005521),26
POINT (29.2548619999937 40.8754710005342),26
POINT (29.3045729999941 40.9305020005428),26
POINT (29.311718000009 40.9187979991186),26
POINT (29.2674999999939 40.868169000533),26
POINT (29.3068929999943 40.8647780005325),26
POINT (29.3040979999942 40.8650520005325),26
POINT (29.3013609932512 40.8652190380627),26
POINT (29.2981419999942 40.8646060005324),26
POINT (29.2873009999941 40.8663980005327),26
POINT (29.282495999994 40.868245000533),26
POINT (29.3198459999943 40.9279220005425),26
POINT (29.2477049999937 40.8819100005352),26
POINT (29.288322999994 40.9227340005416),26
POINT (29.2152379818545 40.8901930138467),23
POINT (29.2700149999939 40.8784950005347),26
POINT (29.3363069941274 40.9561119807083),26
POINT (29.0993269999911 41.1484150005777),10
POINT (29.1060520000112 41.1487002891138),10
POINT (29.1099829999913 41.1487320005777),10
POINT (29.1132489999913 41.1487830005778),10
POINT (29.1166259999914 41.1507070005781),10
POINT (29.1209670029396 41.1503879720433),10
POINT (29.1209549999914 41.150461000578),10
POINT (29.1262949654492 41.151184024786),10
POINT (29.1724179999921 41.1610340005797),10
POINT (29.2299219999928 41.1952470005853),10
POINT (29.2318950000101 41.1896099991129),10
